Date,Track,Distance,Split,Sections,Weight,Section 1 Time,Finish Time
14/12/17,Monmr,480,4.54,2111,32.4,4.54,24.57
07/12/17,Monmr,480,4.50,3111,32.6,4.50,24.71
01/12/17,Monmr,480,4.62,3111,32.7,4.62,24.72
24/11/17,Monmr,480,4.70,3322,,4.70,25.09
18/11/17,Monmr,480,4.68,,,4.68,25.1
09/11/17,Monmr,480,4.59,1111,,4.59,25.31
07/10/17,DrumPk,306,,,32.7,,18.47
29/09/17,DrumPk,306,6.90,,32.7,6.90,11.74
04/09/17,DrumPk,480,,,,,30.48
28/08/17,DrumPk,306,,,,,18.94
14/12/17,Monmr,480,4.68,4333,32.4,4.68,24.93
07/12/17,Monmr,480,4.56,4453,31.5,4.56,25.17
22/11/17,Monmr,480,4.63,5566,31.0,4.63,25.1
11/11/17,Monmr,480,4.62,6666,31.5,4.62,25.27
06/11/17,Monmr,480,4.68,2222,,4.68,24.44
01/11/17,Monmr,264,,2-2-,,,16.2
19/08/17,Monmr,480,4.59,5666,31.9,4.59,25.64
11/08/17,Monmr,480,4.61,5454,32.1,4.61,24.89
04/08/17,Monmr,630,13.26,4534,31.8,13.26,25.81
27/07/17,Monmr,480,4.65,5566,31.9,4.65,24.63
21/07/17,Monmr,630,13.27,5112,31.0,13.27,25.79
14/07/17,Monmr,630,13.49,5555,31.0,13.49,25.76
06/07/17,Monmr,630,13.17,6556,31.7,13.17,25.76
21/06/17,Monmr,480,4.75,6664,32.0,4.75,24.47
14/06/17,Monmr,480,4.67,5665,32.0,4.67,24.44
09/06/17,Monmr,480,4.70,2333,,4.70,24.8
02/06/17,Monmr,480,4.72,3333,,4.72,24.24
26/05/17,Monmr,480,4.75,,,4.75,24.49
06/05/17,Lffrd,480,2.91,2222,30.5,2.91,26.37
08/04/17,Lffrd,526,5.61,3444,31.4,5.61,26.81
01/04/17,Lffrd,503,4.32,6643,,4.32,26.44
25/03/17,Lffrd,480,2.97,4444,30.9,2.97,26.62
06/03/17,Longfd,736,18.45,2121,30.5,18.45,28.48
18/02/17,Lffrd,549,6.75,4222,31.4,6.75,26.79
11/02/17,Lffrd,526,5.72,5232,30.9,5.72,26.91
04/02/17,Lffrd,503,4.51,5422,30.9,4.51,26.29
01/01/17,Lffrd,503,4.46,5555,31.4,4.46,27.21
17/12/16,Lffrd,480,2.97,4411,30.9,2.97,26.97
26/11/16,Lffrd,320,,2-2-,30.5,,19.34
19/11/16,Lffrd,320,,1-3-,30.9,,20.05
15/10/16,DrumPk,480,,,32.3,,29.84
03/09/16,Lffrd,320,,5-4-,31.8,,19.35
22/08/16,Derry,274,,,,,17.3
18/06/16,Lffrd,320,,3-3-,31.8,,19.46
11/06/16,Lffrd,480,2.88,2543,32.3,2.88,26.99
07/05/16,Lffrd,320,,5-5-,32.7,,20.14
28/03/16,Derry,457,,,,,28.8
11/01/16,Derry,457,,,,,28.97
17/12/15,Derry,457,,,,,29.45
10/12/15,Lffrd,320,,,,,20.1
26/11/15,Derry,274,,,,,17.47
14/12/17,Monmr,480,4.46,1222,27.8,4.46,25.23
07/12/17,Monmr,480,4.51,4222,27.1,4.51,24.71
20/11/17,Monmr,480,4.51,3665,26.8,4.51,25.36
11/11/17,Monmr,480,4.52,1155,27.1,4.52,25.2
04/11/17,Monmr,480,4.66,4445,26.9,4.66,24.86
25/10/17,Monmr,480,4.54,3344,26.9,4.54,24.8
19/10/17,Monmr,480,4.50,1222,26.3,4.50,24.74
